Organism Name	Annotation Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total
Polyporus arcularius HHB13444	Annotation submitted by DOE Joint Genome Institute	43452342	17791
Exidia glandulosa HHB12029	Annotation submitted by DOE Joint Genome Institute	78161169	26835
Macrolepiota fuliginosa MF-IS2	Annotation submitted by DOE Joint Genome Institute	46382382	15999
Rhizopogon vinicolor AM-OR11-026	Annotation submitted by DOE Joint Genome Institute	36102320	14601
Laccaria amethystina LaAM-08-1	Annotation submitted by DOE Joint Genome Institute	52197432	21027
Sphaerobolus stellatus SS14	Annotation submitted by DOE Joint Genome Institute	176372157	36095
Paxillus rubicundulus Ve08.2h10	Annotation submitted by DOE Joint Genome Institute	53011005	22354
Amanita brunnescens Koide BX004	Annotation submitted by Harvard University	36016155	14506
Mycena venus	Annotation submitted by Academia Sinica	162187722	24874
Mycena indigotica	Annotation submitted by Academia Sinica	72886219	13735
Clathrus columnatus	Annotation submitted by Center for Molecular Biodiversity Research, National Museum of Nature & Science	36509728	10625
Mycena kentingensis (nom. inval.)	Annotation submitted by Academia Sinica	65015191	14271
Psilocybe cf. subviscida	Annotation submitted by Lund University	53019196	13686
Termitomyces sp. 'cryptogamus'	Annotation submitted by Wageningen University	70031285	12538
Marasmius tenuissimus	Annotation submitted by USDA ARS	71059515	24991
Phlebopus sp. FC_14	Annotation submitted by DOE Joint Genome Institute	36096188	9510
Lanmaoa asiatica	Annotation submitted by INRAE	46638161	9982
Leucoagaricus leucothites	Annotation submitted by Lund University	47309141	11537
Mycena chlorophos	Annotation submitted by Academia Sinica	50883660	13505
Favolaschia claudopus	Annotation submitted by DOE Joint Genome Institute	264579338	50341
Microbotryum saponariae	Annotation submitted by ESE	28653577	10587
Pisolithus sp. B1	Annotation submitted by DOE Joint Genome Institute	64705422	12812
Lyophyllum atratum	Annotation submitted by DOE Joint Genome Institute	64896558	15747
Flagelloscypha sp. PMI_526	Annotation submitted by DOE Joint Genome Institute	72728845	20061
Ustilago sp. UG-2017b	Annotation submitted by Technische Universitat Munchen - WZW	21904892	7853
Ustilago trichophora	Annotation submitted by Technische Universitat Munchen - WZW	39002873	13508
Ustilago tritici	Annotation submitted by University of Cologne	20444915	6624
Naganishia vaughanmartiniae	Annotation submitted by Jet Propulsion Laboratory, California Institute of Technology	23003986	6783
Ustilago nuda	Annotation submitted by University of Cologne	21384534	6668
Ustilago loliicola	Annotation submitted by University of Cologne	20766546	5194
Naganishia friedmannii	Annotation submitted by Jet Propulsion Laboratory, California Institute of Technology	23839142	7385
Mycena pura	Annotation submitted by DOE Joint Genome Institute	96680276	29039
Ustilago sp. UG-2017a	Annotation submitted by Technische Universitat Munchen - WZW	28938793	9104
Marasmiellus scandens	Annotation submitted by USDA ARS	69436134	20750
Cerrena zonata	Annotation submitted by Justus Liebig University	55515746	21214
Coprinopsis sp. MPI-PUGE-AT-0042	Annotation submitted by DOE Joint Genome Institute	121013029	27829
Mycena citricolor	Annotation submitted by The Genome Analysis Centre	77511139	21425
Hysterangium stoloniferum	Annotation submitted by DOE Joint Genome Institute	111842964	16221
Paramarasmius palmivorus	Annotation submitted by USDA ARS	68319805	19483
Tetrapyrgos nigripes	Annotation submitted by Lund University	99142376	18803
Rhodotorula sp. JG-1b	Annotation submitted by DOE Joint Genome Institute	19393393	6790
Microbotryomycetes sp. JL201	Annotation submitted by Duke University	17449121	6574
Puccinia coronata f. sp. avenae	Annotation submitted by University of Minnesota	99159039	26796
Microbotryomycetes sp. JL221	Annotation submitted by Duke University	18690526	6679
Saitozyma sp. JCM 24511	Annotation submitted by RIKEN Center for Life Science Technologies, Division of Genomic Technologies	28180937	10249
Rhodotorula sp. CCFEE 5036	Annotation submitted by University of California, Riverside	19072598	6553
Auriculariales sp. MPI-PUGE-AT-0066	Annotation submitted by DOE Joint Genome Institute	47727729	14721
Mycena sp. CBHHK59/15	Annotation submitted by DOE Joint Genome Institute	177780440	38645
Collybiopsis confluens	Annotation submitted by Lund University	60120426	15320
Pleurotus ostreatoroseus	Annotation submitted by Amazonian macromicets: knowing their diversity and evaluating their biotechnological potential in a sustainable way	38588587	11510
Cubamyces sp. BRFM 1775	Annotation submitted by DOE Joint Genome Institute	34515440	14097
Naganishia cerealis	Annotation submitted by Jet Propulsion Laboratory, California Institute of Technology	24976512	9527
Candolleomyces efflorescens	Annotation submitted by TU Dresden - IHI Zittau	33573984	9128
Tulasnella sp. 330	Annotation submitted by DOE Joint Genome Institute	42302809	9713
Peniophora sp. CONT	Annotation submitted by DOE Joint Genome Institute	46030792	19182
Tulasnella sp. 424	Annotation submitted by DOE Joint Genome Institute	48431701	12294
Tulasnella sp. 425	Annotation submitted by DOE Joint Genome Institute	48399368	11731
Melanogaster broomeanus	Annotation submitted by DOE Joint Genome Institute	49614189	14282
Clavulina sp. PMI_390	Annotation submitted by DOE Joint Genome Institute	41628453	15536
Trametes cubensis	Annotation submitted by TU Dresden - IHI Zittau	41991417	13588
Trametes pubescens	Annotation submitted by CBS-KNAW Fungal Biodiversity Centre Institute of the Royal Netherlands Academy of Arts and Science	39739821	14718
Athelia sp. TMB	Annotation submitted by The Ohio State University	79838449	22982
Amanita polypyramis BW_CC	Annotation submitted by Harvard University	19670722	7962
Candolleomyces aberdarensis	Annotation submitted by IHI Zittau / TU Dresden	60609341	14703
Steccherinum ochraceum	Annotation submitted by The Federal Research Centre "Fundamentals of Biotechnology" of the Russian Academy of Sciences	35274896	12441
Fibularhizoctonia sp. CBS 109695	Annotation submitted by DOE Joint Genome Institute	95118143	33036
Psilocybe cyanescens	Annotation submitted by Ohio State University	47465408	15936
Physisporinus lineatus	Annotation submitted by TU Dresden - IHI Zittau	46923322	13285
Peniophora sp. CBMAI 1063	Annotation submitted by LABORATORIO NACIONAL DE CIENCIA E TECNOLOGIA DO BI	46982497	17219
Bondarzewia mesenterica	Annotation submitted by IHI Zittau / TU Dresden	36721587	10523
Lentinula aff. lateritia	Annotation submitted by DOE Joint Genome Institute	39933087	12872
Termitomyces sp. J132	Annotation submitted by BGI	67296805	11398
Coniferiporia weirii	Annotation submitted by Oregon State University	40274806	9937
Fibroporia radiculosa	Annotation submitted by NCBI RefSeq	28378039	9184
Ceratobasidium sp. AG-I	Annotation submitted by DOE Joint Genome Institute	58444101	18182
Termitomyces sp. T112	Annotation submitted by Leibniz-Institut fur Naturstoff-Forschung und Infektionsbiologie e. V. - Hans-Knoll-Institut (HKI)	66220995	13651
Marasmius sp. AFHP31	Annotation submitted by Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas	84698778	22418
Cyphobasidiales sp. Tagirdzhanova-0007	Annotation submitted by Spribille Lab	17620033	6124
Tremellales sp. Uapishka_1	Annotation submitted by McGill University	17889413	6715
Gymnopilus dilepis	Annotation submitted by Ohio State University	46664762	16222
Leucocoprinus birnbaumii	Annotation submitted by TU Dresden - IHI Zittau	45705486	13108
Panaeolus cyanescens	Annotation submitted by Ohio State University	44310526	13420
Tephrocybe rancida	Annotation submitted by Wageningen University and Research	66588273	17254
Ceratobasidium sp. 414	Annotation submitted by DOE Joint Genome Institute	50425407	12328
Asterophora parasitica	Annotation submitted by Wageningen University and Research	34053942	9773
Dentipellis fragilis	Annotation submitted by IHI Zittau / TU Dresden	32180624	11717
Termitomyces sp. Mn162	Annotation submitted by Wageningen University and Research	70239706	12600
Tremellales sp. Tagirdzhanova-0007	Annotation submitted by Spribille Lab	17202798	6074
Sphagnurus paluster	Annotation submitted by Wageningen University and Research	43980169	12795
Tulasnella sp. 332	Annotation submitted by DOE Joint Genome Institute	44576393	9742
Phenoliferia sp. Uapishka_3	Annotation submitted by McGill University	32924126	9530
Tulasnella sp. UAMH 9824	Annotation submitted by University of Missouri	49802335	13066
Tulasnella sp. 331	Annotation submitted by DOE Joint Genome Institute	44512311	9870
Coprinellus aureogranulatus	Annotation submitted by TU Dresden - IHI Zittau	58242426	20316
Leucoagaricus sp. SymC.cos	Annotation submitted by BGI	119028496	12918
Ceratobasidium sp. 428	Annotation submitted by DOE Joint Genome Institute	69097995	25249
Ceratobasidium sp. 395	Annotation submitted by DOE Joint Genome Institute	67010313	21017
Serendipita sp. 396	Annotation submitted by DOE Joint Genome Institute	20638744	8327
Tulasnella sp. 403	Annotation submitted by DOE Joint Genome Institute	29964626	9063
Ceraceosorus bombacis	Annotation submitted by IPF	26090089	8023
Tricholoma furcatifolium	Annotation submitted by Wageningen University and Research	49805319	16163
Astraeus odoratus	Annotation submitted by Purdue University	45082902	13403
Termitomyces sp. Mi166#008	Annotation submitted by Wageningen University and Research	71419695	16735
Serendipita sp. 401	Annotation submitted by DOE Joint Genome Institute	28571286	12001
Tulasnella sp. 419	Annotation submitted by DOE Joint Genome Institute	33665025	12966
Tulasnella sp. 427	Annotation submitted by DOE Joint Genome Institute	39289859	12877
Tulasnella sp. 418	Annotation submitted by DOE Joint Genome Institute	32841821	12504
Tulasnella sp. 417	Annotation submitted by DOE Joint Genome Institute	61487333	14914
Termitomyces sp. T32_za158	Annotation submitted by Wageningen University and Research	56889488	13391
Ceratobasidium sp. 394	Annotation submitted by DOE Joint Genome Institute	53454525	18995
Rhizopogon vesiculosus	Annotation submitted by University of Florida	43780879	14191
Serendipita sp. 397	Annotation submitted by DOE Joint Genome Institute	28775535	12147
Serendipita sp. 399	Annotation submitted by DOE Joint Genome Institute	31004825	11339
Tulasnella sp. 408	Annotation submitted by DOE Joint Genome Institute	63626598	14729
Tephrocybe sp. NHM501043	Annotation submitted by Wageningen University and Research	64323069	12995
Serendipita sp. 405	Annotation submitted by DOE Joint Genome Institute	28724145	12111
Serendipita sp. 398	Annotation submitted by DOE Joint Genome Institute	28851264	11522
Ceratobasidium sp. UAMH 11750	Annotation submitted by University of Missouri	47766782	16804
Serendipita sp. 411	Annotation submitted by DOE Joint Genome Institute	28400685	12076
Serendipita sp. 400	Annotation submitted by DOE Joint Genome Institute	28560853	12449
Ceratobasidium sp. 392	Annotation submitted by DOE Joint Genome Institute	52465834	15196
Termitomyces sp. T159_Od127	Annotation submitted by Wageningen University and Research	76250332	12835
Ceratobasidium sp. 370	Annotation submitted by DOE Joint Genome Institute	47284605	11922
Blastosporella zonata	Annotation submitted by Wageningen University and Research	48677616	12607
Puccinia sorghi	Annotation submitted by BIA - FCEN - UBA	99534058	21769
Ceratobasidium sp. 423	Annotation submitted by DOE Joint Genome Institute	66434938	15109
Arthromyces matolae	Annotation submitted by Wageningen University and Research	50532040	17000
